id,Contract_Name,Last Trade Date,Strike,Last_Price,Bid,Ask,Change,% Change,Volume,Open_Interest,Implied_Volatility,Ticker,C/P
179,GOOG190920P01100000,2019-09-17 3:39PM EDT,"1,100.00",0.08,0.05,0.2,-0.12,-60.00%,1,"2,498",0.4595,GOOG,P
180,GOOG190920P01102500,2019-09-10 1:29PM EDT,"1,102.50",0.6,0.15,0.2,0,-,3,5,0.4512,GOOG,P
181,GOOG190920P01105000,2019-09-10 2:30PM EDT,"1,105.00",0.75,0.2,0.2,0,-,3,90,0.4429,GOOG,P
182,GOOG190920P01110000,2019-09-17 10:36AM EDT,"1,110.00",0.11,0,0.2,-0.11,-50.00%,2,341,0.4263,GOOG,P
183,GOOG190920P01112500,2019-09-06 3:52PM EDT,"1,112.50",1,0,0.25,0,-,7,5,0.4307,GOOG,P
184,GOOG190920P01115000,2019-09-16 11:30AM EDT,"1,115.00",0.13,0,0.25,0,-,27,368,0.4224,GOOG,P
185,GOOG190920P01117500,2019-09-11 10:32AM EDT,"1,117.50",0.55,0,0.25,0,-,1,8,0.4141,GOOG,P
186,GOOG190920P01120000,2019-09-17 3:39PM EDT,"1,120.00",0.15,0.1,0.15,-0.07,-31.82%,2,460,0.3789,GOOG,P
187,GOOG190920P01122500,2019-09-10 2:47PM EDT,"1,122.50",1.4,0,0.25,0,-,2,3,0.397,GOOG,P
188,GOOG190920P01125000,2019-09-13 3:53PM EDT,"1,125.00",0.25,0,0.25,0,-,2,275,0.3887,GOOG,P
189,GOOG190920P01127500,2019-09-11 10:58AM EDT,"1,127.50",0.65,0,0.25,0,-,-,8,0.3804,GOOG,P
190,GOOG190920P01130000,2019-09-17 12:56PM EDT,"1,130.00",0.1,0,0.25,-0.17,-62.96%,29,654,0.3716,GOOG,P
191,GOOG190920P01132500,2019-09-16 11:24AM EDT,"1,132.50",0.2,0,0.3,0,-,5,14,0.3731,GOOG,P
192,GOOG190920P01135000,2019-09-17 12:57PM EDT,"1,135.00",0.13,0,0.3,-0.1,-43.48%,4,392,0.3643,GOOG,P
193,GOOG190920P01137500,2019-09-11 10:53AM EDT,"1,137.50",0.9,0,0.3,0,-,1,4,0.3557,GOOG,P
194,GOOG190920P01140000,2019-09-17 9:45AM EDT,"1,140.00",0.2,0.1,0.35,-0.05,-20.00%,2,211,0.3552,GOOG,P
195,GOOG190920P01142500,2019-09-11 12:16PM EDT,"1,142.50",0.9,0.05,0.35,0,-,4,18,0.3464,GOOG,P
196,GOOG190920P01145000,2019-09-17 2:52PM EDT,"1,145.00",0.25,0.05,0.35,-0.19,-43.18%,1,99,0.3377,GOOG,P
197,GOOG190920P01147500,2019-09-13 10:11AM EDT,"1,147.50",0.45,0.05,0.35,0,-,6,18,0.3289,GOOG,P
198,GOOG190920P01150000,2019-09-17 3:03PM EDT,"1,150.00",0.25,0.2,0.3,-0.04,-13.79%,17,312,0.3125,GOOG,P
199,GOOG190920P01152500,2019-09-12 2:23PM EDT,"1,152.50",0.6,0.1,0.4,0,-,11,55,0.3179,GOOG,P
200,GOOG190920P01155000,2019-09-16 12:12PM EDT,"1,155.00",0.32,0.1,0.4,0,-,1,84,0.3088,GOOG,P
201,GOOG190920P01157500,2019-09-17 1:23PM EDT,"1,157.50",0.33,0.1,0.45,-0.17,-34.00%,1,74,0.3059,GOOG,P
202,GOOG190920P01160000,2019-09-17 3:08PM EDT,"1,160.00",0.29,0.15,0.45,-0.16,-35.56%,13,307,0.2966,GOOG,P
203,GOOG190920P01162500,2019-09-16 2:51PM EDT,"1,162.50",0.42,0.15,0.45,0,-,5,109,0.2876,GOOG,P
204,GOOG190920P01165000,2019-09-17 3:06PM EDT,"1,165.00",0.35,0.2,0.45,-0.15,-30.00%,20,175,0.2783,GOOG,P
205,GOOG190920P01167500,2019-09-17 10:51AM EDT,"1,167.50",0.48,0.2,0.5,-0.07,-12.73%,1,58,0.2742,GOOG,P
206,GOOG190920P01170000,2019-09-17 3:36PM EDT,"1,170.00",0.35,0.25,0.55,-0.22,-38.60%,9,"1,270",0.2695,GOOG,P
207,GOOG190920P01172500,2019-09-16 12:09PM EDT,"1,172.50",0.55,0.25,0.55,0,-,3,50,0.26,GOOG,P
208,GOOG190920P01175000,2019-09-17 10:32AM EDT,"1,175.00",0.55,0.3,0.6,-0.05,-8.33%,3,240,0.2546,GOOG,P
209,GOOG190920P01177500,2019-09-17 10:49AM EDT,"1,177.50",0.67,0.3,0.65,0.02,3.08%,5,48,0.2488,GOOG,P
210,GOOG190920P01180000,2019-09-17 10:10AM EDT,"1,180.00",0.65,0.4,0.7,-0.05,-7.14%,3,402,0.2427,GOOG,P
211,GOOG190920P01182500,2019-09-16 2:29PM EDT,"1,182.50",0.95,0.4,0.7,0,-,21,56,0.2326,GOOG,P
212,GOOG190920P01185000,2019-09-17 11:49AM EDT,"1,185.00",0.65,0.5,0.75,-0.28,-30.11%,6,111,0.2258,GOOG,P
213,GOOG190920P01187500,2019-09-17 3:52PM EDT,"1,187.50",0.68,0.5,0.85,-0.55,-44.72%,20,37,0.2217,GOOG,P
214,GOOG190920P01190000,2019-09-17 3:04PM EDT,"1,190.00",0.96,0.55,0.9,-0.04,-4.00%,21,411,0.214,GOOG,P
215,GOOG190920P01192500,2019-09-17 2:17PM EDT,"1,192.50",1.25,0.65,1,-0.05,-3.85%,46,61,0.2086,GOOG,P
216,GOOG190920P01195000,2019-09-17 3:51PM EDT,"1,195.00",0.95,0.75,1.2,-0.54,-36.24%,31,228,0.2073,GOOG,P
217,GOOG190920P01197500,2019-09-17 3:40PM EDT,"1,197.50",1.15,0.9,1.35,-0.51,-30.72%,29,194,0.2023,GOOG,P
218,GOOG190920P01200000,2019-09-17 3:57PM EDT,"1,200.00",1.3,1.05,1.45,-0.37,-22.16%,96,893,0.1946,GOOG,P
219,GOOG190920P01202500,2019-09-17 1:42PM EDT,"1,202.50",2.15,1.25,1.8,-0.25,-10.42%,3,159,0.1953,GOOG,P
220,GOOG190920P01205000,2019-09-17 3:57PM EDT,"1,205.00",1.85,1.55,1.95,-0.5,-21.28%,103,564,0.1875,GOOG,P
221,GOOG190920P01207500,2019-09-17 3:20PM EDT,"1,207.50",2.95,1.75,2.35,0.2,7.27%,82,89,0.1867,GOOG,P
222,GOOG190920P01210000,2019-09-17 3:57PM EDT,"1,210.00",2.6,2.3,2.65,-0.4,-13.33%,523,"1,382",0.1813,GOOG,P
223,GOOG190920P01212500,2019-09-17 3:21PM EDT,"1,212.50",4.2,2.9,3.2,0.52,14.13%,172,182,0.1811,GOOG,P
224,GOOG190920P01215000,2019-09-17 3:55PM EDT,"1,215.00",3.6,3.5,3.7,-0.89,-19.82%,441,843,0.1778,GOOG,P
225,GOOG190920P01217500,2019-09-17 3:52PM EDT,"1,217.50",4.3,4.1,4.5,-0.69,-13.83%,176,98,0.1795,GOOG,P
226,GOOG190920P01220000,2019-09-17 3:47PM EDT,"1,220.00",5,4.8,5.2,-0.8,-13.79%,427,911,0.1769,GOOG,P
227,GOOG190920P01222500,2019-09-17 3:52PM EDT,"1,222.50",5.8,5.4,6.1,-0.74,-11.31%,27,129,0.1766,GOOG,P
228,GOOG190920P01225000,2019-09-17 3:55PM EDT,"1,225.00",6.7,6.2,7,-0.5,-6.94%,227,525,0.1741,GOOG,P
229,GOOG190920P01227500,2019-09-17 3:56PM EDT,"1,227.50",8.4,7.1,8.1,0.3,3.70%,141,142,0.1735,GOOG,P
230,GOOG190920P01230000,2019-09-17 3:59PM EDT,"1,230.00",8.8,8.3,9.1,0,-,186,370,0.1688,GOOG,P
231,GOOG190920P01232500,2019-09-17 3:10PM EDT,"1,232.50",12.5,9.3,10.4,2.1,20.19%,16,207,0.1677,GOOG,P
232,GOOG190920P01235000,2019-09-17 3:41PM EDT,"1,235.00",11.71,10.6,11.8,-0.29,-2.42%,61,342,0.1664,GOOG,P
233,GOOG190920P01237500,2019-09-17 3:59PM EDT,"1,237.50",12.8,12.2,13.3,-0.32,-2.44%,12,212,0.1646,GOOG,P
234,GOOG190920P01240000,2019-09-17 2:16PM EDT,"1,240.00",18,13.1,14.8,3.4,23.29%,19,283,0.1603,GOOG,P
235,GOOG190920P01242500,2019-09-17 1:54PM EDT,"1,242.50",18.6,14.7,16.8,6.5,53.72%,7,115,0.1649,GOOG,P
236,GOOG190920P01245000,2019-09-17 3:47PM EDT,"1,245.00",17.6,16.6,18.8,2.6,17.33%,54,17,0.1677,GOOG,P
237,GOOG190920P01247500,2019-09-16 12:44PM EDT,"1,247.50",19.05,17.8,20.8,-2.45,-11.40%,1,8,0.1686,GOOG,P
238,GOOG190920P01250000,2019-09-17 2:14PM EDT,"1,250.00",26.1,20.2,22.7,4.1,18.64%,11,74,0.1643,GOOG,P
239,GOOG190920P01252500,2019-09-16 12:07AM EDT,"1,252.50",21.2,22.5,26.3,0,-,-,2,0.2095,GOOG,P
240,GOOG190920P01255000,2019-09-16 1:29PM EDT,"1,255.00",29,23,28,0,-,2,4,0.1987,GOOG,P
241,GOOG190920P01260000,2019-09-17 10:10AM EDT,"1,260.00",33.72,27.5,32.4,3.11,10.16%,5,"1,551",0.2015,GOOG,P
242,GOOG190920P01265000,2019-09-04 10:25AM EDT,"1,265.00",92.01,33.1,39,0,-,3,2,0.2798,GOOG,P
243,GOOG190920P01270000,2019-09-17 10:31AM EDT,"1,270.00",43.9,37.5,43.3,-30.2,-40.76%,2,0,0.2805,GOOG,P
244,GOOG190920P01280000,2019-09-05 10:42AM EDT,"1,280.00",76.38,46.8,54.6,0,-,2,6,0.3716,GOOG,P
245,GOOG190920P01285000,2019-08-15 11:01AM EDT,"1,285.00",116.74,41,49.9,0,-,10,0,0,GOOG,P
246,GOOG190920P01290000,2019-08-26 11:41AM EDT,"1,290.00",129.03,57,65.5,0,-,1,2,0.4483,GOOG,P
247,GOOG190920P01300000,2019-09-06 12:08PM EDT,"1,300.00",93,67.3,75.4,0,-,3,10,0.4913,GOOG,P
248,GOOG190920P01310000,2019-09-06 12:07PM EDT,"1,310.00",103.3,77.3,85.4,0,-,2,2,0.536,GOOG,P
249,GOOG190920P01317500,2019-09-16 11:58AM EDT,"1,317.50",86.5,84.8,92.9,0,-,-,4,0.5686,GOOG,P
250,GOOG190920P01320000,2019-08-13 3:31PM EDT,"1,320.00",124.15,75.8,85.3,0,-,3,0,0,GOOG,P
251,GOOG190920P01340000,2019-08-13 3:31PM EDT,"1,340.00",143.96,96,105.3,0,-,3,0,0,GOOG,P
252,GOOG190920P01350000,2019-07-31 1:32PM EDT,"1,350.00",118.39,157.4,166.9,0,-,-,0,1.6553,GOOG,P
253,GOOG190920P01360000,2019-08-30 12:05PM EDT,"1,360.00",175,127.3,136,0,-,14,0,0.5132,GOOG,P
254,GOOG190920P01370000,2019-09-16 1:29PM EDT,"1,370.00",143,136.8,145.9,0,-,7,0,0.5044,GOOG,P
255,GOOG190920P01380000,2019-07-16 10:04AM EDT,"1,380.00",228.9,199.5,209.7,0,-,20,0,2.0915,GOOG,P
256,GOOG190920P01420000,2019-06-07 11:12AM EDT,"1,420.00",164.1,284.2,293.5,0,-,-,0,3.2264,GOOG,P
257,GOOG190920P01500000,2019-07-15 9:32AM EDT,"1,500.00",357.4,321,329,0,-,1,0,2.701,GOOG,P
258,GOOG190920P01600000,2019-08-19 12:03AM EDT,"1,600.00",428.9,366.9,375.8,0,-,-,-,1.0732,GOOG,P
259,GOOG190920P01660000,2019-06-07 11:12AM EDT,"1,660.00",478.2,524.2,533.5,0,-,-,0,4.35,GOOG,P
260,GOOG190920P01740000,2019-06-07 11:12AM EDT,"1,740.00",558.2,604.5,613,0,-,-,0,4.6551,GOOG,P
261,NFLX190920P00165000,2019-09-10 2:13PM EDT,165,0.01,0,0.01,0,-,20,"1,949",1.7188,NFLX,P
262,NFLX190920P00170000,2019-09-09 3:25PM EDT,170,0.01,0.01,0.01,0,-,37,240,1.7188,NFLX,P
263,NFLX190920P00175000,2019-09-10 1:21PM EDT,175,0.04,0,0.01,0,-,1,364,1.5625,NFLX,P
264,NFLX190920P00180000,2019-09-10 3:00PM EDT,180,0.02,0,0.01,0,-,65,354,1.4688,NFLX,P
265,NFLX190920P00185000,2019-09-11 3:34PM EDT,185,0.04,0.01,0.01,0,-,31,185,1.4688,NFLX,P
266,NFLX190920P00190000,2019-09-11 1:14PM EDT,190,0.02,0.02,0.01,0,-,2,243,1.4531,NFLX,P
267,NFLX190920P00195000,2019-08-29 3:59PM EDT,195,0.05,0,0.01,0,-,34,126,1.25,NFLX,P
268,NFLX190920P00200000,2019-09-17 11:17AM EDT,200,0.01,0,0.01,0,-,38,"1,059",1.1875,NFLX,P
269,NFLX190920P00205000,2019-09-11 3:16PM EDT,205,0.08,0,0.01,0,-,76,135,1.125,NFLX,P
270,NFLX190920P00210000,2019-09-16 10:25AM EDT,210,0.01,0,0.01,-0.06,-85.71%,10,318,1.0625,NFLX,P
271,NFLX190920P00215000,2019-09-17 3:20PM EDT,215,0.01,0,0.01,-0.02,-66.67%,42,443,0.9688,NFLX,P
272,NFLX190920P00220000,2019-09-17 3:57PM EDT,220,0.01,0,0.01,-0.01,-50.00%,22,"1,080",0.9063,NFLX,P
273,NFLX190920P00225000,2019-09-17 9:32AM EDT,225,0.03,0.01,0.03,0,-,1,313,0.9688,NFLX,P
274,NFLX190920P00230000,2019-09-17 1:53PM EDT,230,0.03,0.01,0.07,0,-,156,"1,411",0.9609,NFLX,P
275,NFLX190920P00235000,2019-09-17 12:38PM EDT,235,0.03,0.01,0.04,-0.01,-25.00%,2,"1,233",0.8477,NFLX,P
276,NFLX190920P00240000,2019-09-17 3:33PM EDT,240,0.02,0.01,0.03,-0.03,-60.00%,41,"1,818",0.7656,NFLX,P
277,NFLX190920P00245000,2019-09-17 11:29AM EDT,245,0.05,0.02,0.04,-0.02,-28.57%,68,"1,567",0.7266,NFLX,P
278,NFLX190920P00247500,2019-09-17 11:09AM EDT,247.5,0.06,0,0.04,-0.1,-62.50%,17,100,0.6641,NFLX,P
279,NFLX190920P00250000,2019-09-17 3:35PM EDT,250,0.04,0.01,0.04,-0.05,-55.56%,87,"2,089",0.6484,NFLX,P
280,NFLX190920P00252500,2019-09-17 10:12AM EDT,252.5,0.09,0,0.05,-0.12,-57.14%,3,261,0.6133,NFLX,P
281,NFLX190920P00255000,2019-09-17 3:55PM EDT,255,0.05,0.02,0.05,-0.07,-58.33%,159,"2,067",0.6016,NFLX,P
282,NFLX190920P00257500,2019-09-17 3:07PM EDT,257.5,0.08,0.02,0.13,-0.06,-42.86%,32,157,0.627,NFLX,P
283,NFLX190920P00260000,2019-09-17 3:50PM EDT,260,0.08,0.05,0.11,-0.12,-60.00%,212,"4,819",0.5957,NFLX,P
284,NFLX190920P00262500,2019-09-17 3:47PM EDT,262.5,0.03,0.04,0.16,-0.14,-82.35%,3,273,0.5772,NFLX,P
285,NFLX190920P00265000,2019-09-17 3:58PM EDT,265,0.07,0.03,0.1,-0.14,-66.67%,85,"3,835",0.5078,NFLX,P
286,NFLX190920P00267500,2019-09-17 3:56PM EDT,267.5,0.1,0.08,0.12,-0.16,-61.54%,57,369,0.5039,NFLX,P
287,NFLX190920P00270000,2019-09-17 3:58PM EDT,270,0.11,0.08,0.14,-0.2,-64.52%,433,"6,983",0.4922,NFLX,P
288,NFLX190920P00272500,2019-09-17 3:55PM EDT,272.5,0.14,0.14,0.16,-0.29,-67.44%,223,578,0.4639,NFLX,P
289,NFLX190920P00275000,2019-09-17 3:58PM EDT,275,0.13,0.12,0.16,-0.33,-71.74%,503,"2,636",0.4248,NFLX,P
290,NFLX190920P00277500,2019-09-17 3:51PM EDT,277.5,0.2,0.15,0.2,-0.42,-67.74%,144,"1,192",0.4019,NFLX,P
291,NFLX190920P00280000,2019-09-17 3:59PM EDT,280,0.23,0.22,0.26,-0.58,-71.60%,994,"14,336",0.3809,NFLX,P
292,NFLX190920P00282500,2019-09-17 3:59PM EDT,282.5,0.32,0.3,0.33,-0.71,-68.93%,595,"2,137",0.3569,NFLX,P
293,NFLX190920P00285000,2019-09-17 3:59PM EDT,285,0.42,0.41,0.46,-0.92,-68.66%,"1,166","4,735",0.3394,NFLX,P
294,NFLX190920P00287500,2019-09-17 3:59PM EDT,287.5,0.64,0.58,0.67,-1.22,-65.59%,"1,221","2,309",0.3257,NFLX,P
295,NFLX190920P00290000,2019-09-17 3:59PM EDT,290,0.93,0.89,0.97,-1.53,-62.20%,"4,919","7,362",0.3115,NFLX,P
296,NFLX190920P00292500,2019-09-17 3:59PM EDT,292.5,1.4,1.37,1.43,-2,-58.82%,"3,959","5,224",0.3005,NFLX,P
297,NFLX190920P00295000,2019-09-17 3:59PM EDT,295,2.09,2.05,2.13,-2.36,-53.03%,"6,145","7,395",0.2946,NFLX,P
298,NFLX190920P00297500,2019-09-17 3:59PM EDT,297.5,3.23,3,3.1,-2.62,-44.79%,"2,502",780,0.2911,NFLX,P
299,NFLX190920P00300000,2019-09-17 3:59PM EDT,300,4.5,4.3,4.4,-3.13,-41.02%,"1,831","13,267",0.2926,NFLX,P
300,NFLX190920P00302500,2019-09-17 3:59PM EDT,302.5,6.1,5.85,6.05,-3.44,-36.06%,234,289,0.3015,NFLX,P
301,NFLX190920P00305000,2019-09-17 3:59PM EDT,305,8.02,7.75,7.9,-3.58,-30.86%,597,"1,632",0.3088,NFLX,P
302,NFLX190920P00307500,2019-09-17 3:55PM EDT,307.5,9.99,9.55,10.1,-3.79,-27.50%,103,145,0.3357,NFLX,P
303,NFLX190920P00310000,2019-09-17 3:50PM EDT,310,11.8,11.7,12.4,-4.9,-29.34%,158,"9,476",0.3645,NFLX,P
304,NFLX190920P00312500,2019-09-17 2:55PM EDT,312.5,14.98,13.85,15.2,-2.91,-16.27%,10,139,0.4526,NFLX,P
305,NFLX190920P00315000,2019-09-17 3:51PM EDT,315,16.52,16.35,17.1,-4.44,-21.18%,75,"2,558",0.4148,NFLX,P
306,NFLX190920P00317500,2019-09-16 3:58PM EDT,317.5,23.39,18.6,20,0,-,1,84,0.5217,NFLX,P
307,NFLX190920P00320000,2019-09-17 3:46PM EDT,320,21.5,21.45,21.95,-4.88,-18.50%,82,"3,069",0.4702,NFLX,P
308,NFLX190920P00322500,2019-09-16 9:32AM EDT,322.5,27.85,22.45,25.35,0,-,2,13,0.6631,NFLX,P
309,NFLX190920P00325000,2019-09-17 3:18PM EDT,325,27.46,26,27.5,-3.4,-11.02%,12,"2,605",0.6528,NFLX,P
310,NFLX190920P00327500,2019-09-11 11:34AM EDT,327.5,35.5,28.3,30.25,0,-,-,1,0.5391,NFLX,P
311,NFLX190920P00330000,2019-09-17 3:57PM EDT,330,31.4,30.85,32.3,-4.7,-13.02%,97,"7,674",0.6978,NFLX,P
312,NFLX190920P00335000,2019-09-17 3:57PM EDT,335,36.38,35.8,37.65,-4.9,-11.87%,11,591,0.624,NFLX,P
313,NFLX190920P00340000,2019-09-17 3:26PM EDT,340,42.02,40.8,42.3,-6.02,-12.53%,14,731,0.6055,NFLX,P
314,NFLX190920P00345000,2019-09-17 11:08AM EDT,345,49.29,45.75,47.25,-1.99,-3.88%,47,325,0.625,NFLX,P
315,NFLX190920P00350000,2019-09-17 1:18PM EDT,350,52.65,50.75,52.45,-1.6,-2.95%,1,939,0.749,NFLX,P
316,NFLX190920P00355000,2019-09-12 3:52PM EDT,355,65.6,55.75,57.3,0,-,155,487,0.752,NFLX,P
317,NFLX190920P00360000,2019-09-12 3:52PM EDT,360,70.6,60.75,62.45,0,-,181,664,0.8584,NFLX,P
318,NFLX190920P00365000,2019-09-13 3:32PM EDT,365,70.8,65.75,67.6,0,-,100,184,0.9561,NFLX,P
319,NFLX190920P00370000,2019-09-13 3:32PM EDT,370,75.85,70.75,72.25,0,-,100,211,0.877,NFLX,P
320,NFLX190920P00375000,2019-09-17 12:50PM EDT,375,78.4,75.8,77.45,-2.45,-3.03%,9,201,1.0303,NFLX,P
321,NFLX190920P00380000,2019-09-12 3:52PM EDT,380,90.6,80.75,82.3,0,-,70,106,0.998,NFLX,P
322,NFLX190920P00385000,2019-09-13 1:13PM EDT,385,89.4,85.25,87.5,0,-,20,56,1.478,NFLX,P
323,NFLX190920P00390000,2019-09-11 2:22PM EDT,390,100.8,90.7,92.65,0,-,2,2,1.2119,NFLX,P
324,NFLX190920P00395000,2019-08-26 3:00PM EDT,395,100.66,95.7,97.65,0,-,263,0,1.2598,NFLX,P
325,NFLX190920P00400000,2019-08-15 3:52PM EDT,400,104.7,105.4,106.55,0,-,30,0,2.3093,NFLX,P
326,NFLX190920P00405000,2019-09-10 9:33AM EDT,405,115,105.75,107.5,0,-,10,0,1.3164,NFLX,P
327,NFLX190920P00410000,2019-07-31 2:45PM EDT,410,87.1,115.6,116.9,0,-,5,1,2.48,NFLX,P
328,NFLX190920P00415000,2019-07-24 1:23PM EDT,415,96.9,117.95,118.7,0,-,6,3,2.0244,NFLX,P
329,NFLX190920P00420000,2019-08-28 12:31PM EDT,420,129.1,120.65,122.5,0,-,30,0,1.4004,NFLX,P
330,NFLX190920P00425000,2019-09-03 12:56PM EDT,425,133.6,125.25,127.5,0,-,10,1,1.9087,NFLX,P
331,NFLX190920P00430000,2019-08-28 12:31PM EDT,430,139.2,130.25,132.5,0,-,40,0,1.958,NFLX,P
332,NFLX190920P00435000,2019-08-28 12:31PM EDT,435,144.2,135.75,137.35,0,-,40,0,1.4941,NFLX,P
333,NFLX190920P00440000,2019-08-28 12:31PM EDT,440,149.1,140.8,142.25,0,-,30,0,1.5,NFLX,P
334,NFLX190920P00445000,2019-08-29 1:21PM EDT,445,146.15,145.25,147.5,0,-,10,0,2.1011,NFLX,P
335,NFLX190920P00450000,2019-09-09 10:03AM EDT,450,150.1,150.25,152.5,0,-,34,0,2.1475,NFLX,P
336,NFLX190920P00455000,2019-08-27 2:00PM EDT,455,165.38,155.65,157.5,0,-,5,0,1.6758,NFLX,P
337,NFLX190920P00460000,2019-07-22 3:44PM EDT,460,151.35,162.95,163.7,0,-,145,0,2.4849,NFLX,P
338,NFLX190920P00465000,2019-07-22 12:09AM EDT,465,141.6,168.65,169.4,0,-,-,-,2.7002,NFLX,P
339,NFLX190920P00470000,2019-07-23 2:46PM EDT,470,161.5,172.95,173.7,0,-,6,0,2.5786,NFLX,P
340,NFLX190920P00480000,2019-07-19 9:35AM EDT,480,158,182.95,183.7,0,-,1,0,2.6689,NFLX,P
341,NFLX190920P00485000,2019-07-22 12:09AM EDT,485,117.99,187.95,188.7,0,-,-,2,2.7134,NFLX,P
342,NFLX190920P00490000,2019-07-22 12:09AM EDT,490,167.88,192.95,193.7,0,-,1,0,2.7568,NFLX,P
343,NFLX190920P00500000,2019-07-05 9:52AM EDT,500,123.2,189.25,190.45,0,-,2,0,0,NFLX,P
344,NFLX190920P00505000,2019-07-09 1:17PM EDT,505,124.8,195.15,196.85,0,-,6,0,0,NFLX,P
345,NFLX190920P00520000,2019-06-07 11:04AM EDT,520,162.35,137.4,142,0,-,-,0,0,NFLX,P
346,NFLX190920P00560000,2019-09-10 1:41PM EDT,560,273.15,260.25,262.5,0,-,-,-,3.0117,NFLX,P
